opt, 2020-05-07, 2.59, 2.77, 2.79, 2.58, 215150
coe, 2020-05-07, 0.4, 0.38, 0.4, 0.377, 8304654
vgi, 2020-05-07, 9.73, 9.6, 9.73, 9.59, 4307
cqe, 2020-05-07, 2.28, 2.27, 2.32, 2.23, 1154321
myx, 2020-05-07, 0.42, 0.43, 0.43, 0.412, 4826085
nea, 2020-05-07, 1.7, 1.67, 1.72, 1.625, 5406906
aac, 2020-05-07, 1.13, 1.105, 1.15, 1.105, 168250
waf, 2020-05-07, 0.81, 0.82, 0.84, 0.81, 6383956
gwa, 2020-05-07, 2.55, 2.55, 2.58, 2.49, 967971
era, 2020-05-07, 0.185, 0.16, 0.185, 0.16, 762373
nwh, 2020-05-07, 1.47, 1.46, 1.505, 1.44, 2879556
pni, 2020-05-07, 3.67, 3.78, 3.79, 3.55, 352187
rff, 2020-05-07, 1.93, 1.915, 1.955, 1.905, 603989
pgh, 2020-05-07, 1.82, 1.765, 1.85, 1.76, 555711
ax1, 2020-05-07, 1.18, 1.195, 1.205, 1.14, 1518416
kkc, 2020-05-07, 1.66, 1.7, 1.725, 1.65, 812626
arf, 2020-05-07, 2.11, 2.17, 2.23, 2.11, 323144
dtl, 2020-05-07, 4.11, 4.18, 4.23, 4, 543921
hm1, 2020-05-07, 2.79, 2.79, 2.82, 2.78, 119646
hub, 2020-05-07, 9.85, 10.39, 10.49, 9.85, 518019
psi, 2020-05-07, 2.25, 2.3, 2.32, 2.25, 37961
gem, 2020-05-07, 0.87, 0.87, 0.905, 0.85, 11917314
iem, 2020-05-07, 56.08, 56.14, 56.37, 55.5, 13349
iap, 2020-05-07, 1.02, 1.03, 1.04, 1.015, 2060231
prn, 2020-05-07, 0.94, 0.985, 0.985, 0.91, 2674982
sig, 2020-05-07, 0.57, 0.565, 0.58, 0.56, 1418431
idx, 2020-05-07, 3.18, 3.3, 3.34, 3.14, 662240
ore, 2020-05-07, 2.1, 2.05, 2.11, 2.04, 2118382
eos, 2020-05-07, 4.72, 4.69, 4.77, 4.6, 864972
pbh, 2020-05-07, 4.27, 4.22, 4.35, 4.15, 1087563
wsa, 2020-05-07, 2.16, 2.15, 2.185, 2.135, 1627513
maq, 2020-05-07, 27.86, 27.78, 27.9, 27.78, 1419
oml, 2020-05-07, 0.95, 1.035, 1.04, 0.94, 6150153
ifm, 2020-05-07, 1.6, 1.565, 1.63, 1.54, 1170853
ocl, 2020-05-07, 6.3, 6.36, 6.5, 6.3, 41089
mich, 2020-05-07, 2.71, 2.7, 2.72, 2.7, 426244
hsn, 2020-05-07, 2.85, 2.85, 2.88, 2.77, 306525
kmd, 2020-05-07, 0.89, 0.885, 0.92, 0.87, 6447985
cin, 2020-05-07, 21, 21.28, 21.28, 21, 1271
elo, 2020-05-07, 7.96, 8, 8.06, 7.83, 98403
api, 2020-05-07, 1.09, 1.07, 1.1, 1.07, 1490514
ahy, 2020-05-07, 1.005, 1.015, 1.015, 0.997, 205385
gdi, 2020-05-07, 1.005, 1.005, 1.01, 0.985, 1587495
jms, 2020-05-07, 0.27, 0.27, 0.27, 0.265, 841880
djw, 2020-05-07, 2.47, 2.5, 2.5, 2.43, 63067
iri, 2020-05-07, 3.2, 3.2, 3.24, 3.17, 203363
sfy, 2020-05-07, 49.1, 48.75, 49.12, 48.75, 12160
aef, 2020-05-07, 4.82, 5, 5.1, 4.75, 200898
